species,size,motility,feeding,tiering
Actinopterygii_2,medium,fast_moving,carnivore,benthopelagic
Cephalopoda_1,medium,fast_moving,carnivore,benthopelagic
Trilobita_1,medium,fast_moving,carnivore,epifaunal
Gastropoda_1,medium,slow_moving,carnivore,epifaunal
Gastropoda_2,small,slow_moving,carnivore,epifaunal
Bivalvia_1,medium,facultative,herbivore,deep_infaunal
Bivalvia_2,medium,facultative,herbivore,shallow_infaunal
Crustacea_ichnofossil_2,medium,fast_moving,herbivore,deep_infaunal
Crinoidea_1,medium,nonmotile_attached,herbivore,epifaunal
Rhynchonelliformea_1,medium,nonmotile_attached,herbivore,epifaunal
Bivalvia_5,small,nonmotile_attached,herbivore,epifaunal
Rhynchonelliformea_2,small,nonmotile_attached,herbivore,epifaunal
Bryozoa_1,tiny,nonmotile_attached,herbivore,epifaunal
Bivalvia_7,small,nonmotile_attached,herbivore,semi_infaunal
Crustacea_1,tiny,nonmotile_attached,herbivore,semi_infaunal
Foraminifera_1,small,nonmotile_unattached,herbivore,epifaunal
Foraminifera_2,tiny,nonmotile_unattached,herbivore,epifaunal
Gastropoda_3,medium,slow_moving,herbivore,epifaunal
Ophiuroidea_1,medium,slow_moving,herbivore,epifaunal
Crustacea_2,small,slow_moving,herbivore,epifaunal
Gastropoda_4,small,slow_moving,herbivore,epifaunal
Crustacea_3,tiny,slow_moving,herbivore,epifaunal
Cnidaria_1,medium,nonmotile_attached,microcarnivore,epifaunal
Echinoidea_1,medium,slow_moving,omnivore,epifaunal
Gastropoda_6,medium,slow_moving,omnivore,epifaunal
