species,size,motility,feeding,tiering
Actinopterygii_1,large,fast_moving,carnivore,benthopelagic
Cephalopoda_1,large,fast_moving,carnivore,benthopelagic
Chondrichthyes_1,large,fast_moving,carnivore,benthopelagic
Sarcopterygii_1,large,fast_moving,carnivore,benthopelagic
Actinopterygii_2,medium,fast_moving,carnivore,benthopelagic
Cephalopoda_2,medium,fast_moving,carnivore,benthopelagic
Chondrichthyes_2,medium,fast_moving,carnivore,benthopelagic
Sarcopterygii_2,medium,fast_moving,carnivore,benthopelagic
Trilobita_1,medium,fast_moving,carnivore,epifaunal
Gastropoda_1,small,slow_moving,carnivore,epifaunal
Gastropoda_2,tiny,slow_moving,carnivore,epifaunal
Annelida_ichnofossil_1,medium,facultative,herbivore,deep_infaunal
Bivalvia_1,medium,facultative,herbivore,deep_infaunal
Bivalvia_2,medium,facultative,herbivore,shallow_infaunal
Annelida_ichnofossil_2,small,facultative,herbivore,shallow_infaunal
Crustacea_ichnofossil_4,medium,fast_moving,herbivore,deep_infaunal
Crustacea_ichnofossil_5,small,fast_moving,herbivore,deep_infaunal
Bivalvia_3,medium,nonmotile_attached,herbivore,epifaunal
Crinoidea_1,medium,nonmotile_attached,herbivore,epifaunal
Porifera_1,medium,nonmotile_attached,herbivore,epifaunal
Rhynchonelliformea_1,medium,nonmotile_attached,herbivore,epifaunal
Linguliformea_1,small,nonmotile_attached,herbivore,epifaunal
Porifera_2,small,nonmotile_attached,herbivore,epifaunal
Rhynchonelliformea_2,small,nonmotile_attached,herbivore,epifaunal
Bryozoa_1,tiny,nonmotile_attached,herbivore,epifaunal
Foraminifera_1,small,nonmotile_unattached,herbivore,epifaunal
Foraminifera_2,tiny,nonmotile_unattached,herbivore,epifaunal
Annelida_ichnofossil_3,medium,slow_moving,herbivore,deep_infaunal
Annelida_ichnofossil_4,small,slow_moving,herbivore,deep_infaunal
Crustacea_1,tiny,slow_moving,herbivore,epifaunal
Annelida_ichnofossil_5,medium,slow_moving,herbivore,shallow_infaunal
Annelida_ichnofossil_6,small,slow_moving,herbivore,shallow_infaunal
Conodonta_1,small,fast_moving,microcarnivore,nektopelagic
Cnidaria_1,medium,nonmotile_attached,microcarnivore,epifaunal
Cnidaria_2,small,nonmotile_attached,microcarnivore,epifaunal
Echinoidea_1,medium,slow_moving,omnivore,epifaunal
