species,size,motility,feeding,tiering
Cephalopoda_2,medium,fast_moving,carnivore,benthopelagic
Bivalvia_1,large,facultative,herbivore,shallow_infaunal
Bivalvia_2,medium,facultative,herbivore,shallow_infaunal
Bivalvia_3,large,nonmotile_attached,herbivore,epifaunal
Bivalvia_4,medium,nonmotile_attached,herbivore,epifaunal
Porifera_1,medium,nonmotile_attached,herbivore,epifaunal
Rhynchonelliformea_1,medium,nonmotile_attached,herbivore,epifaunal
Cnidaria_1,small,nonmotile_attached,herbivore,epifaunal
Rhynchonelliformea_2,small,nonmotile_attached,herbivore,epifaunal
Bryozoa_1,tiny,nonmotile_attached,herbivore,epifaunal
Cnidaria_2,tiny,nonmotile_attached,herbivore,epifaunal
Bivalvia_6,small,nonmotile_attached,herbivore,semi_infaunal
Foraminifera_2,tiny,nonmotile_unattached,herbivore,epifaunal
Ophiuroidea_1,medium,slow_moving,herbivore,epifaunal
Gastropoda_1,tiny,slow_moving,herbivore,epifaunal
Conodonta_1,small,fast_moving,microcarnivore,nektopelagic
Cnidaria_3,medium,nonmotile_attached,microcarnivore,epifaunal
Cnidaria_4,small,nonmotile_attached,microcarnivore,epifaunal
Gastropoda_2,medium,slow_moving,omnivore,epifaunal
Gastropoda_3,small,slow_moving,omnivore,epifaunal
