species,size,motility,feeding,tiering
Actinopterygii_1,large,fast_moving,carnivore,benthopelagic
Cephalopoda_2,medium,fast_moving,carnivore,benthopelagic
Annelida_ichnofossil_1,small,facultative,herbivore,shallow_infaunal
Crustacea_ichnofossil_1,small,facultative,herbivore,shallow_infaunal
Rhynchonelliformea_1,medium,nonmotile_attached,herbivore,epifaunal
Bryozoa_1,tiny,nonmotile_attached,herbivore,epifaunal
Foraminifera_1,tiny,nonmotile_unattached,herbivore,epifaunal
Foraminifera_2,tiny,nonmotile_unattached,herbivore,semi_infaunal
Foraminifera_3,tiny,nonmotile_unattached,herbivore,shallow_infaunal
Annelida_ichnofossil_2,medium,slow_moving,herbivore,deep_infaunal
Annelida_ichnofossil_4,small,slow_moving,herbivore,shallow_infaunal
Conodonta_2,tiny,fast_moving,microcarnivore,nektopelagic
Cnidaria_1,medium,nonmotile_attached,microcarnivore,epifaunal
